"filename", "language", "Dart", "comment", "blank", "total"
"d:\dev\1CS Projects\BDD\frontend\lib\chat\data\model\conversation_model.dart", "Dart", 19, 17, 8, 44
"d:\dev\1CS Projects\BDD\frontend\lib\chat\data\model\message_model.dart", "Dart", 25, 3, 7, 35
"d:\dev\1CS Projects\BDD\frontend\lib\chat\data\repository\chat_repo_implem.dart", "Dart", 49, 0, 7, 56
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\entities\conversation_entity.dart", "Dart", 17, 1, 4, 22
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\entities\message_entity.dart", "Dart", 20, 1, 4, 25
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\repository\base_chat_repo.dart", "Dart", 11, 4, 5, 20
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\add_conversation_usecase.dart", "Dart", 10, 0, 4, 14
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\getAllCovnersationUseCase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\get_messages_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\send_message_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\controller\bloc\chat_bloc.dart", "Dart", 99, 4, 8, 111
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\controller\bloc\chat_event.dart", "Dart", 25, 0, 10, 35
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\controller\bloc\chat_state.dart", "Dart", 67, 9, 8, 84
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\all_chat_screen.dart", "Dart", 210, 6, 11, 227
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\chat_screen.dart", "Dart", 122, 34, 11, 167
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\message_class.dart", "Dart", 10, 0, 1, 11
"d:\dev\1CS Projects\BDD\frontend\lib\cores\const\colors.dart", "Dart", 7, 0, 1, 8
"d:\dev\1CS Projects\BDD\frontend\lib\cores\const\const.dart", "Dart", 3, 0, 0, 3
"d:\dev\1CS Projects\BDD\frontend\lib\cores\error\exceptions.dart", "Dart", 9, 1, 8, 18
"d:\dev\1CS Projects\BDD\frontend\lib\cores\error\failure.dart", "Dart", 13, 0, 7, 20
"d:\dev\1CS Projects\BDD\frontend\lib\cores\network\api_constants.dart", "Dart", 16, 0, 6, 22
"d:\dev\1CS Projects\BDD\frontend\lib\cores\network\error_message_model.dart", "Dart", 17, 0, 4, 21
"d:\dev\1CS Projects\BDD\frontend\lib\cores\services\service_locator.dart", "Dart", 83, 12, 11, 106
"d:\dev\1CS Projects\BDD\frontend\lib\cores\utils\enums.dart", "Dart", 5, 0, 0, 5
"d:\dev\1CS Projects\BDD\frontend\lib\cores\widgets\text_input_field.dart", "Dart", 45, 1, 4, 50
"d:\dev\1CS Projects\BDD\frontend\lib\main.dart", "Dart", 34, 0, 7, 41
"d:\dev\1CS Projects\BDD\frontend\lib\notifications\presentation\screens\notifications.dart", "Dart", 69, 0, 6, 75
"d:\dev\1CS Projects\BDD\frontend\lib\oldmain.dart", "Dart", 36, 1, 7, 44
"d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\component\bio_success_page.dart", "Dart", 77, 1, 3, 81
