"filename", "language", "Dart", "comment", "blank", "total"
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\coursedetail.dart", "Dart", 2, 0, 1, 3
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\pdf_preview.dart", "Dart", 1, 0, 0, 1
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\quizz.dart\quizz_page.dart", "Dart", -1, 0, 1, 0
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher_detail.dart", "Dart", 15, 0, 1, 16
"d:\dev\1CS Projects\BDD\frontend\lib\chat\data\datasource\chat_datasource.dart", "Dart", 1, 0, 0, 1
"d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\chat_page.dart", "Dart", -206, -1, -30, -237
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\datasource\todo_datasource.dart", "Dart", -1, 0, 0, -1
"d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\screens\todos.dart", "Dart", 655, 41, 13, 709
"Total", "-", 466, 40, -14, 492
