"filename", "language", "Dart", "comment", "blank", "total"
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\datasource\course_datasource.dart", "Dart", 122, 6, 15, 143
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\model\course_detail_model.dart", "Dart", 47, 4, 6, 57
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\model\course_model.dart", "Dart", 22, 7, 4, 33
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\repository\course_repo_implem.dart", "Dart", 59, 1, 8, 68
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\course_content.dart", "Dart", 23, 1, 6, 30
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\course_detail_entity.dart", "Dart", 30, 4, 5, 39
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\suggested_courses.dart", "Dart", 20, 1, 4, 25
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\repository\base_course_repo.dart", "Dart", 13, 0, 4, 17
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\add_chapter_usecase.dart", "Dart", 13, 0, 4, 17
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\add_course_usecase.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_course_detail.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_courses_by_teacher.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_suggested_courses.dart", "Dart", 11, 0, 4, 15
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\component\add_course_success.dart", "Dart", 77, 1, 3, 81
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_bloc.dart", "Dart", 129, 0, 13, 142
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_event.dart", "Dart", 32, 0, 12, 44
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_state.dart", "Dart", 93, 16, 16, 125
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\base_screen.dart", "Dart", 92, 15, 6, 113
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\coursedetail.dart", "Dart", 375, 1, 9, 385
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\mainpage.dart", "Dart", 535, 1, 20, 556
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\pdf_preview.dart", "Dart", 19, 0, 4, 23
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\new_course.dart", "Dart", 463, 6, 21, 490
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_base_screen.dart", "Dart", 83, 15, 7, 105
"d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_courses.dart", "Dart", 220, 23, 11, 254
